Timestamp;Entity Name;Bedroom CO2
2024-03-14 10:00:10;64de287c377de412b71a86b1;1646.58
2024-03-14 10:10:10;64de287c377de412b71a86b1;1667.69
2024-03-14 10:20:10;64de287c377de412b71a86b1;1649.6
2024-03-14 10:30:10;64de287c377de412b71a86b1;1676.74
2024-03-14 10:40:10;64de287c377de412b71a86b1;1619.44
2024-03-14 10:50:10;64de287c377de412b71a86b1;1661.66
2024-03-14 11:00:10;64de287c377de412b71a86b1;1660.66
2024-03-14 11:10:10;64de287c377de412b71a86b1;1701.87
2024-03-14 11:20:10;64de287c377de412b71a86b1;1785.31
2024-03-14 11:30:10;64de287c377de412b71a86b1;1760.18
2024-03-14 11:40:10;64de287c377de412b71a86b1;1850.65
2024-03-14 11:50:10;64de287c377de412b71a86b1;1851.65
2024-03-14 12:00:10;64de287c377de412b71a86b1;1814.46
2024-03-14 12:10:10;64de287c377de412b71a86b1;1724.99
2024-03-14 12:20:10;64de287c377de412b71a86b1;1726.0
2024-03-14 12:30:10;64de287c377de412b71a86b1;1675.74
2024-03-14 12:40:13;64de287c377de412b71a86b1;1649.6
2024-03-14 12:50:13;64de287c377de412b71a86b1;1643.57
2024-03-14 13:00:13;64de287c377de412b71a86b1;1613.41
2024-03-14 13:10:13;64de287c377de412b71a86b1;1545.05
2024-03-14 13:20:13;64de287c377de412b71a86b1;1552.09
2024-03-14 13:30:13;64de287c377de412b71a86b1;1511.88
2024-03-14 13:40:13;64de287c377de412b71a86b1;1503.84
2024-03-14 13:50:13;64de287c377de412b71a86b1;1448.55
2024-03-14 14:00:13;64de287c377de412b71a86b1;1415.38
2024-03-14 14:10:13;64de287c377de412b71a86b1;1362.1
2024-03-14 14:20:13;64de287c377de412b71a86b1;1435.48
2024-03-14 14:30:13;64de287c377de412b71a86b1;1436.49
2024-03-14 14:40:13;64de287c377de412b71a86b1;1167.08
2024-03-14 14:50:13;64de287c377de412b71a86b1;1231.42
2024-03-14 15:00:13;64de287c377de412b71a86b1;1240.47
2024-03-14 15:10:13;64de287c377de412b71a86b1;1179.15
2024-03-14 15:20:13;64de287c377de412b71a86b1;1155.02
2024-03-14 15:30:13;64de287c377de412b71a86b1;1148.99
2024-03-14 15:40:13;64de287c377de412b71a86b1;1108.78
2024-03-14 15:50:13;64de287c377de412b71a86b1;1093.7
2024-03-14 16:00:13;64de287c377de412b71a86b1;1077.62
2024-03-14 16:10:13;64de287c377de412b71a86b1;994.18
2024-03-14 16:20:13;64de287c377de412b71a86b1;1005.24
2024-03-14 16:30:13;64de287c377de412b71a86b1;985.14
2024-03-14 16:40:10;64de287c377de412b71a86b1;1005.24
2024-03-14 16:50:10;64de287c377de412b71a86b1;926.83
2024-03-14 17:00:10;64de287c377de412b71a86b1;894.66
2024-03-14 17:10:10;64de287c377de412b71a86b1;832.34
2024-03-14 17:20:10;64de287c377de412b71a86b1;817.26
2024-03-14 17:30:10;64de287c377de412b71a86b1;804.19
2024-03-14 17:40:10;64de287c377de412b71a86b1;812.23
2024-03-14 17:50:10;64de287c377de412b71a86b1;815.25
2024-03-14 18:00:10;64de287c377de412b71a86b1;791.12
2024-03-14 18:10:10;64de287c377de412b71a86b1;786.1
2024-03-14 18:20:10;64de287c377de412b71a86b1;809.22
2024-03-14 18:30:10;64de287c377de412b71a86b1;800.17
2024-03-14 18:40:10;64de287c377de412b71a86b1;794.14
2024-03-14 18:50:10;64de287c377de412b71a86b1;770.01
2024-03-14 19:00:10;64de287c377de412b71a86b1;780.07
2024-03-14 19:10:10;64de287c377de412b71a86b1;813.24
2024-03-14 19:20:10;64de287c377de412b71a86b1;826.31
2024-03-14 19:30:10;64de287c377de412b71a86b1;795.14
2024-03-14 19:40:10;64de287c377de412b71a86b1;804.19
2024-03-14 19:50:10;64de287c377de412b71a86b1;790.12
2024-03-14 20:00:10;64de287c377de412b71a86b1;805.2
2024-03-14 20:10:10;64de287c377de412b71a86b1;814.24
